idx,label,majors,minors,area,perimeter,circularity,AR,roundness,solidity,nucl_std_in,nucl_std_out,nucl_mean_in,nucl_mean_out
1303.0,0,10.081626016259682,4.895745532585368,38.76495647216655,24.67398411253349,0.8001485142487911,2.059262669834012,0.485610706515942,0.9839142091152816,500.1242020810273,490.1045771313471,3224.032697547684,2291.3
1304.0,0,5.46049730066308,3.743645751752988,16.05524082770931,14.878297240274858,0.9114235094650048,1.4586041689724951,0.6855869613374572,0.977491961414791,251.0933060351411,519.2759237575888,1351.1118421052631,1096.922619047619
1305.0,0,8.60241129114937,7.39476356861925,49.96137441780594,25.71093689039661,0.9497481066746956,1.1633112014094604,0.8596152076833837,0.9885057471264368,161.89531512396866,365.0472005037368,1577.8964059196617,1505.3014705882354
1306.0,0,11.038453877622429,6.103976227408207,52.91891878080503,27.796882154849875,0.8606541248150367,1.808403811937753,0.5529738399127092,0.9940476190476192,203.18719107946367,459.6993782754414,1986.24750499002,1910.7172413793105
1307.0,0,10.579535886725337,5.631453017338727,46.792576886021216,26.575487833525774,0.832576859162285,1.8786511854315249,0.532296792376761,1.0068181818181818,262.2022515433088,460.2169724874137,2120.7584650112867,1994.159420289855
1308.0,0,10.867498428192029,7.301393933167397,62.3196847917664,29.76229650051059,0.8841017173693346,1.4884142025025118,0.6718559916444445,0.9833333333333332,276.2024076041552,531.9590345976185,2800.028813559322,2370.432258064516
1309.0,0,8.949380062852864,7.078012251658596,49.750121249020296,25.493950500148102,0.9618995710870292,1.2643917168631278,0.7908941403704652,0.9832985386221296,139.53853663880813,138.1027444186804,1341.9023354564756,1184.0037037037036
1310.0,0,7.471521805437054,6.156025254617186,36.12429186234595,21.861151744895256,0.949867719622893,1.2136925201587194,0.8239319130591874,0.9898697539797396,942.8328833927872,1664.758758011649,4258.494152046784,4094.097457627119
1311.0,0,8.602145281747939,6.034813964454692,40.77186157563022,23.64349992480702,0.9165304006254782,1.425420126024586,0.7015475520111687,0.9910141206675224,849.6053612080252,673.1916026662489,2340.6735751295337,1849.9637096774195
1312.0,0,9.318855874874954,5.873746094394257,42.99001984787953,24.31101895907852,0.914052594302936,1.5865268476226126,0.6303076443354775,0.9975490196078431,135.8876086617963,235.86710462578503,1726.5233415233415,1597.84496124031
1313.0,0,9.096363047553217,8.102072559066672,57.883368247267775,27.276569691361612,0.9776516870774962,1.1227205114787422,0.8906936230129918,0.990063233965673,263.81723092983555,463.5844887435722,2058.3120437956204,1958.263888888889
1314.0,0,12.018525270169492,7.922558081822479,74.78362175011968,31.92176265281125,0.9222371862556364,1.5170005881995112,0.6591955255514265,1.0049680624556423,306.4206530903164,205.4293347089008,2505.5070621468926,1961.5846645367408
1315.0,0,8.592632275038392,7.950983293488343,53.6583048715548,26.45266698643854,0.9636246112438304,1.080700582288425,0.9253256789058646,1.000985221674877,468.04241910264346,665.8372203159967,3660.505905511811,2972.4964028776976
1316.0,0,10.226327229514052,7.219980323534177,57.9889948316606,27.957302808600694,0.9323197925948116,1.4163926730077667,0.7060189021427652,1.0018248175182485,180.59618064110367,342.6015714814047,1976.7559198542808,1821.092465753425
1317.0,0,8.933888094974993,8.083829266794101,56.72147581894671,27.042987965904448,0.9746485394729518,1.1051554653278828,0.9048500698526748,1.0,854.9122678177271,755.1604581961723,4623.672253258846,3562.330985915493
1318.0,0,7.707488226193711,6.682966113764021,40.45498182245175,23.9724280257588,0.8846221870199791,1.153303502515091,0.8670744498904487,0.9782886334610472,461.0865578039997,750.2772358246118,3357.697127937337,3071.2913385826773
1319.0,0,11.710727097232391,8.555704322641512,78.69180537265419,32.54355826132919,0.9337041747777572,1.368762483556326,0.7305869440560604,1.008801624915369,259.4506934944799,379.4295656301921,2431.959731543624,2032.5449101796407
1320.0,0,9.035588162925238,5.656014626132518,40.13810206927327,23.69032856011331,0.8987202536137764,1.597518528537401,0.6259708304701443,0.975609756097561,543.4091626893211,341.21894472804473,2353.310526315789,1496.547619047619
1321.0,0,10.437623048823376,7.821146803469042,64.11533672644441,29.67481485582185,0.9149466164855096,1.3345386950407074,0.7493225964268477,0.9837925445705024,461.4932427082678,579.9174019297785,3656.4019769357496,2911.9093851132684
